naId,recordGroup,level,status,exemptions,securityClassification,note,coverageStart,coverageEnd,title
7553730,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-12-87/I, Jul 87, Management and Development of Soviet Military Technology"
7579643,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Letter to Col. Grogan from Douglas Kennedy of True Magazine with Tearsheet Attachment, 4/2/59"
5956138,263,series,Restricted - Fully,Other,Top Secret,"Per the Central Intelligence Agency (CIA) Information Act of 1984, these records are exempted from search, review, publication, or disclosure under the Freedom of Information Act (FOIA). They are also exempted from Mandatory Declassification Review (MDR) requests under Section 3.5(a)(2) of Executive Order 13526.",,,Lincoln Station Index
7542227,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"52) NIE 95, 25 Sept 53, Probable Soviet Bloc Courses of Action Through Mid-1955"
7542546,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"4) SNIE 11-11-55, 10 Aug 55, Some Implications of a System of International Armaments Inspection"
7542667,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NI IIM 86-10003, Mar 86, Soviet Economic Aid to Sub-Saharan Africa: Politics in Command"
7553394,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"33) NIE 11/12-73, 4 Oct 73, Soviet and East European Attitudes Toward MBFR (Mutual and Balanced Forced Reductions)"
7553640,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"39) NIC M 81-10009, Sept 81, Evolving soviet Strategy Toward LRTNF (Long Range Theater Nuclear Forces) Negotiations"
7542370,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"14) NIE 11-9-62, 2 May 62, Trends in Soviet Foreign Policy"
7542431,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"23) NIE 11-3-61, 11 Jul 61, Sino-Soviet Air Defense Capabilities Through Mid-1966"
7542500,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"17) NIE 11-14-64, 10 Dec 64, Capabilities of soviet General Purpose Forces, 1964-1970"
7553633,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"32) NIO IIM 76-030J, Jun 76, Implications for US-Soviet Relations of Certain Soviet Activities"
7260304,263,series,Restricted - Partly,FOIA (b)(1) National Security,Top Secret,This series has undergone a comprehensive declassification review and most documents have been declassified.  A few individual documents within the series remain classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the few documents that could not be declassified at the time of the comprehensive review.,,,Joint Army Navy Studies (JANIS)
7542224,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"49) SE 47, 24 Jul 53, Probable Effect of Recent Developments in Eastern Germany on Soviet Policy with Respect to Germany"
7553345,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"111) NIE 100-5-59, 3 Feb 59, Implications for the Free World and the Communist Bloc of Growing Nuclear Capabilities"
7542240,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"65) NIE 12-54, 24 Aug 54, Probable Developments in the European Satellites Through Mid-1956"
7542374,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"18) SNIE 11-16-62, 13 Sept 62, Current Soviet Tactics on Berlin"
7553607,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"6) SNIE 100-6-58, 29 Jul 58, Implications of Certain US Earth Satellite Programs"
7542228,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"53) SE 53, 18 Dec 53, Probable Communist Reactions to Certain Possible US Courses of Action in Indochina Through 1954"
7542272,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"97) SNIE 100-7-57, 11 Jun 57, Probable Sino-Soviet Reactions to US Deployment of Nuclear Weapons Systems"
7542297,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"122) SNIE 2-2-61, 11 Jul 61, Soviet and Other Reactions to Possible US Courses of Action with Respect to Berlin"
7542392,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"36) SNIE 58-68, 21 Mar 68, Communist Intentions in Laos"
7542417,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"9) SNIE 11-10-57, 10 Dec 57, The Soviet ICBM Program"
7553718,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"SNIE 97-85, Nov 85, Peru: Prospects for Increased Soviet Bloc Influence"
7542593,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"51) NIE 11-3/8-84/85, 25 Apr 85, Soviet Capabilities for Strategic Nuclear Conflict Through the Mid-1990s"
7553535,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"68) NIE 11-3/8-80, 16 Dec 80, Soviet Capabilities for Strategic Nuclear Conflict Through 1990"
7553684,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NI IIM 83-10002, Jul 83, Employment of Warsaw Pact Forces Against NATO"
7579546,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Letter to Dulles from Kirk re: Thanks for Sending a draft of Chapter XIV, The Man on the Job, 4/1/63"
7553674,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NI IIM 80-10010JX, Jun 80, The Readiness of Soviet Naval Forces"
7542216,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"41) SE 40, 13 Apr 53, Communist Reactions to US Establishment of a Volunteer Freedom Corps"
7542256,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"81) NIE 11-5-55, 12 July 55, Air Defense of the Sino-Soviet Bloc, 1955-1960"
7553464,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"49) NICM 82-10004, Apr 82, The Soviet Bloc Financial Problem as a Source of Western Influence"
7553462,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"47) SNIE 11-17-83, 15 Sept 83, Implications of Soviet Use of Chemical and Toxin Weapons for US Security Interests"
7542504,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"21) NIE 11-14-65, 21 Oct 65, Capabilities of Soviet General Purpose Forces"
7553391,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"30) NIE 15-73, 5 Jul 73, Yugoslavia After Tito"
7579478,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Letter to J. Eisenhower from Kirk re: Booklet Prepared to Present to Each French Resistance Member, 10/12/59"
102260449,263,series,Restricted - Fully,FOIA (b)(1) National Security,Secret,,,,Agency Provided External Support Files and Document Analysis Files
7542637,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-19-85/D, Jun 85, Soviet Strategy and Capabilities for Multitheater War"
7553395,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"34) NIE 11/13/6-73, 25 Oct 73, Possible Changes in the Sino-Soviet Relationship"
102260487,263,series,Restricted - Fully,FOIA (b)(1) National Security,Top Secret,,,,Research and Development Contract Files
7553273,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"39) NIE 80, 3 Apr 53, Communist Capabilities and Probable Courses of Action in Korea"
7553424,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"9) SNIE 11-12-61, 5 Oct 61, The Soviet Threat to Iran and the CENTO Area"
7553477,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"10) SNIE 11-7-58, 5 Jun 58, Strength and Composition of the Soviet Long Range Bomber Force"
7553581,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"39) NIE 11-14-69, 4 Dec 69, Soviet and East European General Purpose Forces"
